parameter,importance_time,importance_efficiency,optimal_time,optimal_efficiency
idle_prob,326.5,0.0020211392713144587,0.25,0.2
follow_prob,1653.0250000000005,0.0034350783344187594,1.0,1.0
perc_scouts,17757.336258741256,0.028591593853779462,0.9,0.9
kappa_0,1886.6400000000003,0.003650732820941402,1.0,1.0
alpha,312.5980769230782,0.0016633396407956576,50.0,10.0
beta,858.4550000000008,0.0019796628540503357,5.0,20.0
w_dir,1144.3961538461526,0.0012759642745745255,1.0,1.0
