time_to_depletion,total_nectar_collected,time_to_first_nectar,success,idle_prob,follow_prob,rep,perc_scouts,sense_range,kappa_0,alpha,beta,w_dir
,45,,False,0.5,1.0,3,,,,,,
,46,,False,0.5,1.0,4,,,,,,
,48,,False,0.0,,0,0.1,,,,,
,44,,False,0.0,,1,0.1,,,,,
,40,,False,0.0,,2,0.1,,,,,
,46,,False,0.0,,3,0.1,,,,,
,44,,False,0.0,,4,0.1,,,,,
,51,,False,0.0,,0,0.30000000000000004,,,,,
,43,,False,0.0,,1,0.30000000000000004,,,,,
,50,,False,0.0,,2,0.30000000000000004,,,,,
,49,,False,0.0,,3,0.30000000000000004,,,,,
,41,,False,0.0,,4,0.30000000000000004,,,,,
,50,,False,0.0,,0,0.5,,,,,
,47,,False,0.0,,1,0.5,,,,,
,47,,False,0.0,,2,0.5,,,,,
,39,,False,0.0,,3,0.5,,,,,
,46,,False,0.0,,4,0.5,,,,,
,39,,False,0.0,,0,0.7000000000000001,,,,,
,51,,False,0.0,,1,0.7000000000000001,,,,,
,51,,False,0.0,,2,0.7000000000000001,,,,,
,35,,False,0.0,,3,0.7000000000000001,,,,,
,56,,False,0.0,,4,0.7000000000000001,,,,,
,48,,False,0.0,,0,0.9,,,,,
,37,,False,0.0,,2,0.9,,,,,
,43,,False,0.0,,1,0.9,,,,,
,38,,False,0.0,,3,0.9,,,,,
,34,,False,0.125,,0,0.1,,,,,
,51,,False,0.0,,4,0.9,,,,,
,44,,False,0.125,,1,0.1,,,,,
,44,,False,0.125,,3,0.1,,,,,
,44,,False,0.125,,2,0.1,,,,,
,43,,False,0.125,,4,0.1,,,,,
,49,,False,0.125,,1,0.30000000000000004,,,,,
,49,,False,0.125,,0,0.30000000000000004,,,,,
,46,,False,0.125,,2,0.30000000000000004,,,,,
,46,,False,0.125,,3,0.30000000000000004,,,,,
,45,,False,0.125,,4,0.30000000000000004,,,,,
,42,,False,0.125,,1,0.5,,,,,
,35,,False,0.125,,2,0.5,,,,,
,54,,False,0.125,,3,0.5,,,,,
,43,,False,0.125,,0,0.5,,,,,
,50,,False,0.125,,4,0.5,,,,,
,37,,False,0.125,,1,0.7000000000000001,,,,,
,42,,False,0.125,,0,0.7000000000000001,,,,,
,47,,False,0.125,,2,0.7000000000000001,,,,,
,43,,False,0.125,,3,0.7000000000000001,,,,,
,54,,False,0.125,,4,0.7000000000000001,,,,,
,38,,False,0.125,,0,0.9,,,,,
,51,,False,0.125,,1,0.9,,,,,
,46,,False,0.125,,2,0.9,,,,,
,48,,False,0.125,,3,0.9,,,,,
,46,,False,0.125,,4,0.9,,,,,
,53,,False,0.25,,0,0.1,,,,,
,44,,False,0.25,,1,0.1,,,,,
,43,,False,0.25,,2,0.1,,,,,
,37,,False,0.25,,3,0.1,,,,,
,32,,False,0.25,,4,0.1,,,,,
,46,,False,0.25,,0,0.30000000000000004,,,,,
,37,,False,0.25,,1,0.30000000000000004,,,,,
,51,,False,0.25,,2,0.30000000000000004,,,,,
,51,,False,0.25,,3,0.30000000000000004,,,,,
,45,,False,0.25,,4,0.30000000000000004,,,,,
,38,,False,0.25,,1,0.5,,,,,
,41,,False,0.25,,0,0.5,,,,,
,45,,False,0.25,,2,0.5,,,,,
,47,,False,0.25,,3,0.5,,,,,
,37,,False,0.25,,4,0.5,,,,,
,41,,False,0.25,,0,0.7000000000000001,,,,,
,55,,False,0.25,,1,0.7000000000000001,,,,,
,49,,False,0.25,,2,0.7000000000000001,,,,,
,45,,False,0.25,,3,0.7000000000000001,,,,,
,46,,False,0.25,,4,0.7000000000000001,,,,,
,54,,False,0.25,,0,0.9,,,,,
,45,,False,0.25,,1,0.9,,,,,
,51,,False,0.25,,2,0.9,,,,,
,46,,False,0.25,,3,0.9,,,,,
,49,,False,0.25,,4,0.9,,,,,
,44,,False,0.375,,0,0.1,,,,,
,34,,False,0.375,,1,0.1,,,,,
,42,,False,0.375,,2,0.1,,,,,
,45,,False,0.375,,3,0.1,,,,,
,48,,False,0.375,,4,0.1,,,,,
,49,,False,0.375,,1,0.30000000000000004,,,,,
,43,,False,0.375,,2,0.30000000000000004,,,,,
,53,,False,0.375,,0,0.30000000000000004,,,,,
,37,,False,0.375,,3,0.30000000000000004,,,,,
,45,,False,0.375,,1,0.5,,,,,
,38,,False,0.375,,0,0.5,,,,,
,42,,False,0.375,,4,0.30000000000000004,,,,,
,43,,False,0.375,,2,0.5,,,,,
,46,,False,0.375,,3,0.5,,,,,
,43,,False,0.375,,0,0.7000000000000001,,,,,
,32,,False,0.375,,4,0.5,,,,,
,49,,False,0.375,,2,0.7000000000000001,,,,,
,44,,False,0.375,,1,0.7000000000000001,,,,,
,34,,False,0.375,,3,0.7000000000000001,,,,,
,35,,False,0.375,,4,0.7000000000000001,,,,,
,47,,False,0.375,,1,0.9,,,,,
,43,,False,0.375,,2,0.9,,,,,
,39,,False,0.375,,0,0.9,,,,,
,47,,False,0.375,,3,0.9,,,,,
,38,,False,0.375,,4,0.9,,,,,
,41,,False,0.5,,1,0.1,,,,,
,45,,False,0.5,,0,0.1,,,,,
,50,,False,0.5,,2,0.1,,,,,
,48,,False,0.5,,3,0.1,,,,,
,48,,False,0.5,,4,0.1,,,,,
,45,,False,0.5,,2,0.30000000000000004,,,,,
,47,,False,0.5,,1,0.30000000000000004,,,,,
,38,,False,0.5,,3,0.30000000000000004,,,,,
,49,,False,0.5,,0,0.30000000000000004,,,,,
,40,,False,0.5,,4,0.30000000000000004,,,,,
,48,,False,0.5,,0,0.5,,,,,
,57,,False,0.5,,1,0.5,,,,,
,41,,False,0.5,,2,0.5,,,,,
,49,,False,0.5,,0,0.7000000000000001,,,,,
,41,,False,0.5,,4,0.5,,,,,
,44,,False,0.5,,3,0.5,,,,,
,44,,False,0.5,,1,0.7000000000000001,,,,,
,48,,False,0.5,,4,0.7000000000000001,,,,,
,49,,False,0.5,,2,0.7000000000000001,,,,,
,52,,False,0.5,,0,0.9,,,,,
,44,,False,0.5,,3,0.7000000000000001,,,,,
,47,,False,0.5,,1,0.9,,,,,
,45,,False,0.5,,3,0.9,,,,,
,50,,False,0.5,,2,0.9,,,,,
,46,,False,0.5,,4,0.9,,,,,
,39,,False,0.0,,0,,0.2,,,,
,49,,False,0.0,,1,,0.2,,,,
,51,,False,0.0,,3,,0.2,,,,
,47,,False,0.0,,2,,0.2,,,,
,46,,False,0.0,,4,,0.2,,,,
,40,,False,0.0,,1,,0.4,,,,
,47,,False,0.0,,0,,0.4,,,,
,34,,False,0.0,,2,,0.4,,,,
,48,,False,0.0,,3,,0.4,,,,
,51,,False,0.0,,4,,0.4,,,,
,49,,False,0.0,,1,,0.6000000000000001,,,,
,39,,False,0.0,,2,,0.6000000000000001,,,,
,53,,False,0.0,,0,,0.6000000000000001,,,,
,43,,False,0.0,,3,,0.6000000000000001,,,,
,45,,False,0.0,,0,,0.8,,,,
,38,,False,0.0,,1,,0.8,,,,
,39,,False,0.0,,4,,0.6000000000000001,,,,
,51,,False,0.0,,3,,0.8,,,,
,46,,False,0.0,,4,,0.8,,,,
,50,,False,0.0,,0,,1.0,,,,
,47,,False,0.0,,1,,1.0,,,,
,41,,False,0.0,,2,,1.0,,,,
,47,,False,0.0,,3,,1.0,,,,
,41,,False,0.0,,4,,1.0,,,,
,56,,False,0.0,,2,,0.8,,,,
,46,,False,0.125,,0,,0.2,,,,
,43,,False,0.125,,2,,0.2,,,,
,46,,False,0.125,,1,,0.2,,,,
